h_rule,h_no,t_rule,t_no,reference
GRMZM2G036409,sum,GRMZM2G152447,sum,0.175084175084175
GRMZM2G036409,sum,GRMZM2G089565,sum,0.175084175084175
GRMZM2G036409,sum,GRMZM2G088834,sum,0.175084175084175
GRMZM2G035592,sum,GRMZM5G871419,sum,0.168350168350168
GRMZM2G035592,sum,GRMZM5G856837,sum,0.164983164983165
GRMZM2G035592,sum,GRMZM2G327199,sum,0.168350168350168
GRMZM2G035592,sum,GRMZM2G151706,sum,0.164983164983165
GRMZM2G035592,sum,GRMZM2G108919,sum,0.171717171717172
GRMZM2G035592,sum,GRMZM2G101938,sum,0.191919191919192
GRMZM2G035592,sum,GRMZM2G036409,sum,0.168350168350168
GRMZM2G032222,sum,GRMZM2G459432,sum,0.175084175084175
GRMZM2G032222,sum,GRMZM2G362281,sum,0.171717171717172
GRMZM2G032222,sum,GRMZM2G314546,sum,0.175084175084175
GRMZM2G032222,sum,GRMZM2G089565,sum,0.185185185185185
GRMZM2G032222,sum,GRMZM2G088834,sum,0.168350168350168
GRMZM2G032222,sum,GRMZM2G067350,sum,0.181818181818182
GRMZM2G031568,sum,GRMZM5G854880,sum,0.171717171717172
GRMZM2G031568,sum,GRMZM2G513713,sum,0.185185185185185
GRMZM2G031568,sum,GRMZM2G477340,sum,0.181818181818182
GRMZM2G031568,sum,GRMZM2G472945,sum,0.178451178451178
GRMZM2G031568,sum,GRMZM2G419267,sum,0.188552188552189
GRMZM2G031568,sum,GRMZM2G362281,sum,0.175084175084175
GRMZM2G031568,sum,GRMZM2G331833,sum,0.178451178451178
GRMZM2G031568,sum,GRMZM2G174236,sum,0.191919191919192
GRMZM2G031568,sum,GRMZM2G154460,sum,0.178451178451178
GRMZM2G031568,sum,GRMZM2G128214,sum,0.178451178451178
GRMZM2G031568,sum,GRMZM2G126812,sum,0.158249158249158
GRMZM2G031568,sum,GRMZM2G082180,sum,0.178451178451178
GRMZM2G031568,sum,GRMZM2G067350,sum,0.175084175084175
GRMZM2G031568,sum,GRMZM2G047720,sum,0.175084175084175
GRMZM2G031568,sum,GRMZM2G032222,sum,0.178451178451178
GRMZM2G028252,sum,GRMZM5G871419,sum,0.178451178451178
GRMZM2G028252,sum,GRMZM5G856837,sum,0.175084175084175
GRMZM2G028252,sum,GRMZM2G375675,sum,0.185185185185185
GRMZM2G028252,sum,GRMZM2G152373,sum,0.175084175084175
GRMZM2G028252,sum,GRMZM2G109959,sum,0.175084175084175
GRMZM2G028129,sum,GRMZM5G854880,sum,0.178451178451178
GRMZM2G028129,sum,GRMZM2G438438,sum,0.168350168350168
GRMZM2G028129,sum,GRMZM2G331833,sum,0.175084175084175
GRMZM2G028129,sum,GRMZM2G327199,sum,0.181818181818182
GRMZM2G028129,sum,GRMZM2G174236,sum,0.175084175084175
GRMZM2G028129,sum,GRMZM2G167492,sum,0.178451178451178
GRMZM2G028129,sum,GRMZM2G131907,sum,0.168350168350168
GRMZM2G028129,sum,GRMZM2G108919,sum,0.178451178451178
GRMZM2G028129,sum,GRMZM2G031568,sum,0.178451178451178
GRMZM2G021514,sum,GRMZM5G864903,sum,0.178451178451178
GRMZM2G021514,sum,GRMZM2G477340,sum,0.168350168350168
GRMZM2G021514,sum,GRMZM2G472945,sum,0.171717171717172
GRMZM2G021514,sum,GRMZM2G438438,sum,0.178451178451178
GRMZM2G021514,sum,GRMZM2G327199,sum,0.175084175084175
GRMZM2G021514,sum,GRMZM2G107609,sum,0.175084175084175
GRMZM2G021433,sum,GRMZM5G838420,sum,0.171717171717172
GRMZM2G021433,sum,GRMZM2G459432,sum,0.168350168350168
GRMZM2G021433,sum,GRMZM2G331833,sum,0.168350168350168
GRMZM2G021433,sum,GRMZM2G174860,sum,0.168350168350168
GRMZM2G021433,sum,GRMZM2G107609,sum,0.168350168350168
GRMZM2G021433,sum,GRMZM2G075502,sum,0.181818181818182
GRMZM2G020594,sum,GRMZM2G460861,sum,0.175084175084175
GRMZM2G020594,sum,GRMZM2G429899,sum,0.171717171717172
GRMZM2G020594,sum,GRMZM2G174236,sum,0.202020202020202
GRMZM2G020594,sum,GRMZM2G152373,sum,0.191919191919192
GRMZM2G020594,sum,GRMZM2G142776,sum,0.181818181818182
GRMZM2G020594,sum,GRMZM2G109959,sum,0.175084175084175
GRMZM2G020594,sum,GRMZM2G088919,sum,0.178451178451178
GRMZM2G020594,sum,GRMZM2G067350,sum,0.178451178451178
GRMZM2G017678,sum,GRMZM2G419267,sum,0.168350168350168
GRMZM2G017678,sum,GRMZM2G174621,sum,0.171717171717172
GRMZM2G017678,sum,GRMZM2G154460,sum,0.181818181818182
GRMZM2G017678,sum,GRMZM2G142776,sum,0.175084175084175
GRMZM2G017678,sum,GRMZM2G035592,sum,0.178451178451178
GRMZM2G017678,sum,GRMZM2G031568,sum,0.171717171717172
GRMZM2G012498,sum,GRMZM2G177169,sum,0.175084175084175
GRMZM2G012498,sum,GRMZM2G109547,sum,0.168350168350168
GRMZM2G012498,sum,GRMZM2G101938,sum,0.178451178451178
GRMZM2G012498,sum,GRMZM2G071270,sum,0.171717171717172
GRMZM2G012498,sum,GRMZM2G031568,sum,0.178451178451178
GRMZM2G010353,sum,GRMZM2G513713,sum,0.175084175084175
GRMZM2G010353,sum,GRMZM2G340807,sum,0.178451178451178
GRMZM2G010353,sum,GRMZM2G174621,sum,0.175084175084175
GRMZM2G010353,sum,GRMZM2G152447,sum,0.181818181818182
GRMZM2G010353,sum,GRMZM2G152373,sum,0.181818181818182
GRMZM2G010353,sum,GRMZM2G147145,sum,0.175084175084175
GRMZM2G010353,sum,GRMZM2G109547,sum,0.175084175084175
AC208559.3_FG003,sum,GRMZM2G174860,sum,0.164983164983165
AC208559.3_FG003,sum,GRMZM2G089491,sum,0.168350168350168
AC208559.3_FG003,sum,GRMZM2G020594,sum,0.175084175084175
AC208559.3_FG003,sum,GRMZM2G010353,sum,0.171717171717172
AC206840.3_FG002,sum,GRMZM2G314546,sum,0.164983164983165
AC206840.3_FG002,sum,GRMZM2G128214,sum,0.168350168350168
AC203754.4_FG008,sum,GRMZM5G871419,sum,0.178451178451178
AC203754.4_FG008,sum,GRMZM5G856837,sum,0.195286195286195
AC203754.4_FG008,sum,GRMZM2G419267,sum,0.168350168350168
AC203754.4_FG008,sum,GRMZM2G375675,sum,0.185185185185185
AC203754.4_FG008,sum,GRMZM2G314546,sum,0.178451178451178
AC203754.4_FG008,sum,GRMZM2G301208,sum,0.191919191919192
AC203754.4_FG008,sum,GRMZM2G174949,sum,0.181818181818182
AC203754.4_FG008,sum,GRMZM2G174621,sum,0.195286195286195
AC203754.4_FG008,sum,GRMZM2G037335,sum,0.175084175084175
AC203754.4_FG008,sum,GRMZM2G036409,sum,0.178451178451178
